;;2009;;;;;;;;;;;;;;;;;;;;;;;;;;
;;regelgeving;;;cultuur;;fysieke infrastructuur;;;vraag;;;netwerken;;leiderschap;;financiering;;talent;;;nieuwe kennis;;intermediaire diensten;;;INDEX;
region;province;RCI Institutions pillar (Nuts 2);inverse natural log;component value;CBS starters /1000 inw (2009);component value;RCI Infrastructure;inv nat log;component value;RCI market size;inv nat log;component value;%bedrijven samenwerken (CIS 2010);component value;Aantal projectentrekkers per 1000 bedrijfsvestigingen (2010-2014);cv;VC per 1000 vestigingen;;%hoger opg bev;;CBS R&D uitgaven 2009 (mln euro);% BBP;component value;CBS % zak dv / bedrijvenpopulatie (2013);component value;CBS BBP 2009 (mln euro);;multiplicative
NL;Nederland;;3,845;;12,705;;;1,637;;;1,563;;59,83333333;;1,71;;411552,8311;cv;0,262;cv;10408;1,82%;;0,178;;573235;;
NL11;Groningen;1,59;4,904;1,275;11,096;0,873;-0,11;0,896;0,547;-0,16;0,852;0,355;65;1,086351035;1,84;1,074;489019,7916;1,188230991;0,248858447;0,95;474;1,81%;0,99;0,13;0,732;26203;9,075;0,207338678
NL12;Friesland ;1,59;4,904;1,275;11,625;0,915;0,27;1,31;0,8;-0,4;0,67;0,279;58;0,969359385;0,33;0,19;41949,92507;0,101930846;0,205450734;0,784;139;0,77%;0,42;0,133;0,746;18012;6,486;0,001216384
NL13;Drenthe;1,59;4,904;1,275;10,653;0,838;0,03;1,03;0,629;-0,42;0,657;0,274;53;0,885793921;0,35;0,207;56195,48362;0,136545016;0,213888889;0,816;52;0,40%;0,22;0,128;0,721;12881;6,005;0,000601416
NL21;Overijssel;1,23;3,421;0,89;11,137;0,877;0,48;1,616;0,987;0,18;1,197;0,499;60;1,002785571;1,65;0,963;385425,9866;0,936516497;0,23345367;0,891;527;1,53%;0,84;0,141;0,794;34532;8,679;0,206260133
NL22;Gelderland;1,23;3,421;0,89;11,56;0,91;0,68;1,974;1,206;0,64;1,896;0,79;61;1,019498664;2,28;1,334;309029,5313;0,750886718;0,261985145;1;1210;2,05%;1,13;0,165;0,929;58993;9,955;0,824164151
NL23;Flevoland;1,3;3,669;0,954;13,947;1,098;0,13;1,139;0,696;-0,26;0,771;0,321;60;1,002785571;0,77;0,45;363828,8023;0,884039186;0,228070175;0,87;154;1,60%;0,88;0,149;0,839;9615;7,995;0,059972457
NL31;Utrecht;1,31;3,706;0,964;14,051;1,106;0,81;2,248;1,373;0,82;2,27;0,946;65;1,086351035;1,73;1,009;901947,953;2,191572875;0,344370861;1,314;1005;1,97%;1,08;0,24;1,349;50950;12,423;6,390752375
NL32;Noord-Holland;1,3;3,669;0,954;16,292;1,282;0,69;1,994;1,218;0,9;2,46;1,025;63;1,05292485;1,44;0,843;681650,0659;1,656288248;0,302244389;1,154;1839;1,76%;0,97;0,201;1,131;104530;11,282;2,829562998
NL33;Zuid-Holland;1,31;3,706;0,964;12,859;1,012;0,76;2,138;1,306;1,05;2,858;1,191;61;1,019498664;2,45;1,434;375172,1389;0,911601474;0,26500956;1,011;2305;1,90%;1,04;0,214;1,204;121355;11,097;2,570670191
NL34;Zeeland;1,31;3,706;0,964;10,498;0,826;0,35;1,419;0,867;-0,12;0,887;0,37;55;0,919220107;0,39;0,229;104063,231;0,252855116;0,195729537;0,747;76;0,63%;0,35;0,1;0,56;12053;6,082;0,001972145
NL41;Noord-Brabant;1,12;3,065;0,797;12,157;0,957;0,61;1,84;1,124;0,93;2,535;1,056;58;0,969359385;1,76;1,027;306283,5781;0,744214541;0,247007617;0,943;2025;2,41%;1,32;0,168;0,946;84169;9,885;0,790488226
NL42;Limburg;1,12;3,065;0,797;9,696;0,763;0,71;2,034;1,243;0,53;1,699;0,708;59;0,986072478;1,02;0,595;83090,56984;0,201895285;0,221962617;0,847;603;1,77%;0,97;0,133;0,744;34055;7,858;0,038909737
