;;2015;;;;;;;;;;;;;;;;;;;;;;;;;;
;;regelgeving;;;cultuur;;fysieke infrastructuur;;;vraag;;;netwerken;;leiderschap;;financiering;;talent;;;nieuwe kennis;;;intermediaire diensten;;INDEX;
region;province;RCI Institutions pillar (Nuts 2);inverse natural log;component value;CBS starters /1000 inw (2012);component value;RCI Infrastructure;inv nat log;component value;RCI market size;inv nat log;component value;%bedrijven samenwerken (CIS 2012);component value;Aantal projectentrekkers per 1000 bedrijfsvestigingen (2010-2014);cv;vc;;%hoger opg bev;;CBS R&D uitgaven 2012 (mln euro);% BBP;component value;CBS % zak dv / bedrijvenpopulatie (2013);component value;;;multiplicative
NL;;;3,011;;12,544;;;2,573;;;1,942;;48,3;;1,71;;351518,5234;;0,289;cv;;0,020358954;;0,211;;;;
NL11;Groningen;1,13;3,091;1,027;10,371;0,827;-0,31;0,736;0,286;-0,27;0,765;0,394;50,3;1,042;1,84;1,074;42345,32867;0,12;0,275;0,950012358;;0,020715487;1,02;0,172;0,816;;7,553;0,01016605
NL12;Friesland ;1,14;3,139;1,043;10,771;0,859;0,05;1,048;0,407;-0,28;0,759;0,391;48,5;1,005;0,33;0,19;34047,07984;0,097;0,219;0,758500625;;0,008471779;0,42;0,157;0,744;;5,91;0,000619502
NL13;Drenthe;1,04;2,83;0,94;10,048;0,801;0,49;1,625;0,631;-0,1;0,908;0,468;51,8;1,073;0,35;0,207;499381,1143;1,421;0,247;0,855440215;;0,0080394;0,39;0,153;0,724;;7,515;0,017134323
NL21;Overijssel;1,24;3,462;1,15;11,049;0,881;1,03;2,791;1,085;0,19;1,203;0,62;48,9;1,013;1,65;0,963;270918,8;0,771;0,255;0,882496603;;0,018649397;0,92;0,186;0,881;;9,162;0,364714793
NL22;Gelderland;1,09;2,988;0,992;12,989;1,035;1,08;2,936;1,141;0,78;2,192;1,129;47,3;0,98;2,28;1,334;102516,2154;0,292;0,283;0,980468339;;0,02169942;1,07;0,195;0,922;;9,871;0,486093957
NL23;Flevoland;1,04;2,836;0,942;11,411;0,91;0,79;2,199;0,855;0,74;2,104;1,083;46,6;0,965;0,77;0,45;37218,96591;0,106;0,24;0,830449827;;0,015006489;0,74;0,17;0,806;;7,684;0,0179867
NL31;Utrecht;1,15;3,143;1,044;14,634;1,167;1,65;5,205;2,023;1,25;3,484;1,794;48,8;1,011;1,73;1,009;480170,3356;1,366;0,38;1,315905225;;0,022341753;1,1;0,263;1,246;;13,073;11,07954591
NL32;Noord-Holland;1,04;2,836;0,942;16,065;1,281;0,79;2,199;0,855;0,74;2,104;1,083;46,4;0,961;1,44;0,843;658360,2147;1,873;0,332;1,14844522;;0,017188117;0,84;0,234;1,11;;10,94;1,823941413
NL33;Zuid-Holland;1,12;3,055;1,015;12,528;0,999;1,15;3,167;1,231;1,09;2,98;1,534;47,5;0,984;2,45;1,434;493128,0304;1,403;0,294;1,01634765;;0,021943009;1,08;0,247;1,171;;11,865;4,859625793
NL34;Zeeland;1,07;2,904;0,964;10,56;0,842;0,08;1,084;0,421;0,56;1,752;0,902;47,5;0,984;0,39;0,229;229550,7229;0,653;0,217;0,751148272;;0,00591516;0,29;0,12;0,568;;6,606;0,005638376
NL41;Noord-Brabant;1,06;2,879;0,956;12,146;0,968;1,42;4,152;1,614;0,97;2,642;1,361;48,5;1,005;1,76;1,027;242545,4385;0,69;0,275;0,95206351;;0,027771796;1,36;0,206;0,975;;10,911;1,832281285
NL42;Limburg;1,09;2,967;0,985;9,694;0,773;1,32;3,732;1,451;0,88;2,414;1,243;47,1;0,976;1,02;0,595;68681,73754;0,195;0,248;0,858945654;;0,018564258;0,91;0,155;0,734;;8,723;0,089569354
