region;province;gazellen;;;;;;;;
;;2009;2010;2011;2012;2013;2014;2015;2016;2017
NL;Nederland;0,000582655;0,000215244;0,000185056;0,000265721;0,000291928;0,000239439;0,000342758;0,000415144;
NL11;Groningen;0,00043456;0,000220426;0,00024949;0,000273973;0,000250627;0,000183192;0,000317676;0,000423163;
NL12;Friesland ;0,000313742;8,14001E-05;7,85238E-05;0,000115296;0,000186012;0,00016266;0,000227114;0,000254929;
NL13;Drenthe;0,000405797;0,000160901;0,000130039;7,4757E-05;9,87654E-05;2,51509E-05;7,5339E-05;0,000150414;
NL21;Overijssel;0,000675295;0,000221914;0,000202265;0,000282714;0,000304394;0,000270096;0,000462789;0,000536913;
NL22;Gelderland;0,000526833;0,000203238;0,000176783;0,000222816;0,000211075;0,000132995;0,000229183;0,000295555;
NL23;Flevoland;0,000533867;0,000249454;0,000210653;0,000176108;5,64972E-05;8,41515E-05;0,000111235;0,000212936;
NL31;Utrecht;0,000811359;0,000291986;0,000264625;0,000488885;0,000487545;0,000425423;0,000474515;0,000575165;
NL32;Noord-Holland;0,000451205;0,00019782;0,000196661;0,00025673;0,000327242;0,000268894;0,00042239;0,000528367;
NL33;Zuid-Holland;0,000849968;0,000285675;0,000225844;0,000312799;0,000338524;0,000267248;0,000364677;0,000447799;
NL34;Zeeland;0,000513347;0,000199336;0,000221099;0,000155183;0,000268978;0,000174825;0,000169731;0,000194878;
NL41;Noord-Brabant;0,000545304;0,000204488;0,000141324;0,000261915;0,000280716;0,000275292;0,000387171;0,000426449;
NL42;Limburg;0,000461125;0,000122805;7,12335E-05;0,000210847;0,000245873;0,000171605;0,000212623;0,000197412;
